"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Bryan Shaw","CLE","8.06","4.56","1.77","1.75","20.7%","11.7%","9.0%",".219","1.32",".235","75.9%","128","144","111","4.91","5.61","-0.70","4.41","4.11","8110"
"Aroldis Chapman","NYY","9.64","8.36","1.15","1.29","21.7%","18.8%","2.9%",".232","1.86",".282","77.6%","135","140","144","5.14","5.62","-0.47","5.68","5.37","10233"
"Casey Lawrence","TOR","6.23","2.08","3.00","2.08","16.4%","5.5%","10.9%",".255","1.23",".256","62.5%","157","144","116","6.23","5.65","0.58","4.61","4.13","11121"
"Foster Griffin","KCR","4.15","8.31","0.50","0.00","8.3%","16.7%","-8.3%",".316","2.31",".353","36.4%","318","146","179","12.46","5.65","6.81","7.03","6.64","16432"
"Ronald Bolanos","KCR","5.89","5.89","1.00","0.98","13.8%","13.8%","0.0%",".278","1.75",".310","80.7%","113","146","145","4.42","5.68","-1.26","5.73","5.29","20041"
"Stephen Strasburg","WSN","9.64","3.86","2.50","1.93","21.7%","8.7%","13.0%",".400","2.14",".500","41.7%","318","138","111","13.50","5.69","7.81","4.50","4.17","10131"
"Spencer Patton","TEX","6.43","3.86","1.67","1.29","17.2%","10.3%","6.9%",".167","1.00",".167","78.9%","102","145","135","3.86","5.69","-1.83","5.32","4.45","12361"
"Hansel Robles","BOS","7.61","4.56","1.67","1.90","18.9%","11.3%","7.5%",".255","1.52",".275","62.1%","142","146","120","5.70","5.69","0.01","4.77","4.53","11801"
"Andrew Wantz","LAA","8.05","2.37","3.40","2.37","22.1%","6.5%","15.6%",".225","1.11",".224","93.3%","98","141","114","3.79","5.69","-1.91","4.55","3.88","24933"
"Daniel Norris","CHC","13.17","5.93","2.22","2.30","33.3%","15.0%","18.3%",".200","1.39",".245","43.0%","171","140","90","7.24","5.71","1.53","3.58","3.43","13475"
"Adrian Martinez","OAK","5.40","1.80","3.00","1.80","13.6%","4.5%","9.1%",".275","1.30",".281","65.6%","171","149","147","6.30","5.72","0.58","5.80","5.17","21023"
"Cole Sands","MIN","9.92","3.86","2.57","2.20","22.2%","8.6%","13.6%",".306","1.78",".360","59.1%","230","146","117","8.82","5.75","3.07","4.67","4.04","21461"
"Trevor Richards","TOR","9.90","5.10","1.94","2.10","24.4%","12.6%","11.9%",".256","1.57",".299","68.1%","158","147","112","6.30","5.75","0.55","4.46","4.04","19309"
"Dallas Keuchel","- - -","6.53","5.66","1.15","1.52","14.3%","12.4%","1.9%",".332","2.10",".367","55.7%","211","143","125","8.27","5.75","2.52","4.96","5.28","9434"
"James Kaprielian","OAK","6.21","4.03","1.54","1.71","15.9%","10.4%","5.6%",".240","1.36",".247","69.5%","147","150","133","5.43","5.75","-0.32","5.27","5.16","18331"
"Miguel Yajure","PIT","2.51","5.65","0.44","0.63","5.6%","12.7%","-7.0%",".333","2.02",".345","60.8%","197","142","170","8.16","5.77","2.40","6.94","6.55","21111"
"Evan Lee","WSN","7.27","7.27","1.00","1.04","16.3%","16.3%","0.0%",".257","1.85",".296","76.9%","98","140","155","4.15","5.77","-1.62","6.34","5.75","24988"
"Chase Silseth","LAA","7.40","3.05","2.43","2.18","19.1%","7.9%","11.2%",".272","1.40",".288","78.3%","136","143","98","5.23","5.78","-0.55","3.93","4.20","30074"
"Mike Mayers","LAA","7.56","3.24","2.33","2.16","18.7%","8.0%","10.7%",".265","1.44",".280","77.3%","140","144","122","5.40","5.82","-0.42","4.84","4.29","15451"
"Bruce Zimmermann","BAL","6.21","1.49","4.18","2.43","15.9%","3.8%","12.1%",".315","1.47",".325","70.9%","152","139","111","5.94","5.83","0.11","4.42","4.41","20370"
"Jose Alvarez","SFG","8.80","5.28","1.67","1.76","19.7%","11.8%","7.9%",".262","1.70",".298","75.6%","131","151","120","5.28","5.85","-0.57","4.87","4.40","5358"
"Yennier Cano","MIN","9.26","6.94","1.33","1.54","20.3%","15.3%","5.1%",".286","1.97",".343","56.6%","241","148","131","9.26","5.86","3.40","5.16","4.81","25911"
"Matt Brash","SEA","8.55","7.65","1.12","1.35","20.0%","17.9%","2.1%",".312","2.05",".382","66.1%","209","152","121","7.65","5.87","1.78","4.81","5.41","25756"
"Kodi Whitley","STL","8.53","6.39","1.33","1.42","20.3%","15.3%","5.1%",".229","1.58",".265","72.9%","142","149","135","5.68","5.88","-0.19","5.48","4.91","19731"
"Carlos Hernandez","KCR","4.85","6.07","0.80","1.21","10.7%","13.4%","-2.7%",".344","2.16",".370","57.2%","233","153","159","9.10","5.91","3.19","6.27","6.23","22713"
"Patrick Murphy","WSN","6.35","12.71","0.50","0.00","11.8%","23.5%","-11.8%",".308","2.82",".364","62.5%","150","144","183","6.35","5.94","0.41","7.52","7.20","19712"
"Ross Detwiler","CIN","9.75","4.50","2.17","2.25","22.8%","10.5%","12.3%",".280","1.67",".324","89.3%","102","141","110","4.50","5.95","-1.45","4.44","4.01","2859"
"Andrew Vasquez","TOR","8.10","4.05","2.00","1.35","18.8%","9.4%","9.4%",".231","1.35",".263","56.6%","204","152","130","8.10","5.97","2.13","5.13","4.10","19482"
"Jose Urena","MIL","3.52","5.87","0.60","1.17","8.3%","13.9%","-5.6%",".226","1.57",".222","66.0%","83","146","157","3.52","5.99","-2.46","6.43","6.29","11589"
"Bailey Falter","PHI","6.75","2.63","2.57","2.25","17.1%","6.7%","10.5%",".281","1.42",".292","72.5%","115","143","126","4.88","5.99","-1.12","5.10","4.65","20070"
"Dusten Knight","TBR","6.75","3.38","2.00","2.25","16.7%","8.3%","8.3%",".242","1.38",".240","73.2%","124","159","116","4.50","5.99","-1.49","4.61","4.35","16537"
"Jake Lemoine","OAK","7.16","3.86","1.86","2.20","17.6%","9.5%","8.1%",".269","1.53",".280","51.5%","209","156","126","7.71","5.99","1.72","5.00","4.48","19785"
"Nick Sandlin","CLE","6.27","8.68","0.72","0.96","15.5%","21.4%","-6.0%",".182","1.61",".196","84.6%","75","154","154","2.89","6.01","-3.12","6.05","6.46","20517"
"Christian Bethancourt","OAK","0.00","9.00","0.00","0.00","0.0%","25.0%","-25.0%",".000","1.00",".000","100.0%","0","159","233","0.00","6.12","-6.12","9.10","10.25","10028"
